Vaccine type,Town,Vaccine coverage
שיתוק ילדים (IPV)-IPV,בית נקופה,95%
שיתוק ילדים (IPV)-IPV,בית לקיא,50%
שיתוק ילדים (IPV)-IPV,בית הערבה,91%
שיתוק ילדים (IPV)-IPV,אייל,96%
שיתוק ילדים (IPV)-IPV,תלמי יפה,100%
שיתוק ילדים (IPV)-IPV,תל קציר,100%
שיתוק ילדים (IPV)-IPV,שקף,82%
שיתוק ילדים (IPV)-IPV,שדה בוקר,100%
שיתוק ילדים (IPV)-IPV,צוקי ים,67%
שיתוק ילדים (IPV)-IPV,עוצם,95%
שיתוק ילדים (IPV)-IPV,עגור,96%
שיתוק ילדים (IPV)-IPV,"ניר ח""ן",100%
שיתוק ילדים (IPV)-IPV,מנוחה,100%
שיתוק ילדים (IPV)-IPV,יסעור,94%
שיתוק ילדים (IPV)-IPV,טיבה-ראמאללה,100%
שיתוק ילדים (IPV)-IPV,חמרה,100%
שיתוק ילדים (IPV)-IPV,דהיישה,100%
שיתוק ילדים (IPV)-IPV,גיאה,91%
שיתוק ילדים (IPV)-IPV,אחוזם,85%
שיתוק ילדים (IPV)-IPV,שחרות,86%
שיתוק ילדים (IPV)-IPV,רעים,86%
שיתוק ילדים (IPV)-IPV,רמות מאיר,100%
שיתוק ילדים (IPV)-IPV,רם-און,91%
שיתוק ילדים (IPV)-IPV,עין שמר,100%
שיתוק ילדים (IPV)-IPV,עזר,100%
שיתוק ילדים (IPV)-IPV,סגולה,86%
שיתוק ילדים (IPV)-IPV,נחם,95%
שיתוק ילדים (IPV)-IPV,נופך,96%
שיתוק ילדים (IPV)-IPV,משואות יצחק,97%
שיתוק ילדים (IPV)-IPV,מעלה החמישה,94%
שיתוק ילדים (IPV)-IPV,מיטב,93%
שיתוק ילדים (IPV)-IPV,מחנה יפה,97%
שיתוק ילדים (IPV)-IPV,"כפר מל""ל",70%
שיתוק ילדים (IPV)-IPV,כפר ידידיה,90%
שיתוק ילדים (IPV)-IPV,כפר טרומן,100%
שיתוק ילדים (IPV)-IPV,חניאל,100%
שיתוק ילדים (IPV)-IPV,דורות,97%
שיתוק ילדים (IPV)-IPV,ברקאי,100%
שיתוק ילדים (IPV)-IPV,ברור חיל,94%
שיתוק ילדים (IPV)-IPV,בית יוסף,96%
שיתוק ילדים (IPV)-IPV,ארז,100%
שיתוק ילדים (IPV)-IPV,אלוני אבא,82%
שיתוק ילדים (IPV)-IPV,אדנה,100%
שיתוק ילדים (IPV)-IPV,תל יוסף,93%
שיתוק ילדים (IPV)-IPV,רמות נפתלי,91%
שיתוק ילדים (IPV)-IPV,ריחן,90%
שיתוק ילדים (IPV)-IPV,קטורה,95%
שיתוק ילדים (IPV)-IPV,קורנית,100%
שיתוק ילדים (IPV)-IPV,צופר,100%
שיתוק ילדים (IPV)-IPV,צאלים,86%
שיתוק ילדים (IPV)-IPV,פלך,100%
שיתוק ילדים (IPV)-IPV,פדיה,100%
שיתוק ילדים (IPV)-IPV,פדויים,100%
שיתוק ילדים (IPV)-IPV,עזוז,0%
שיתוק ילדים (IPV)-IPV,"נתיב הל""ה",100%
שיתוק ילדים (IPV)-IPV,נירים,94%
שיתוק ילדים (IPV)-IPV,ניר אליהו,89%
שיתוק ילדים (IPV)-IPV,נטעים,80%
שיתוק ילדים (IPV)-IPV,נחל עוז,90%
שיתוק ילדים (IPV)-IPV,מצר,92%
שיתוק ילדים (IPV)-IPV,מעוז חיים,100%
שיתוק ילדים (IPV)-IPV,מישר,83%
שיתוק ילדים (IPV)-IPV,מי עמי,100%
שיתוק ילדים (IPV)-IPV,לוטן,75%
שיתוק ילדים (IPV)-IPV,להבות חביבה,94%
שיתוק ילדים (IPV)-IPV,כרמים,100%
שיתוק ילדים (IPV)-IPV,כפר זוהרים,40%
שיתוק ילדים (IPV)-IPV,כפר אחים,95%
שיתוק ילדים (IPV)-IPV,יעף,50%
שיתוק ילדים (IPV)-IPV,יגל,97%
שיתוק ילדים (IPV)-IPV,חירות,91%
שיתוק ילדים (IPV)-IPV,ח'דר,0%
שיתוק ילדים (IPV)-IPV,דמיידה,100%
שיתוק ילדים (IPV)-IPV,"דוב""ב",92%
שיתוק ילדים (IPV)-IPV,גלאון,89%
שיתוק ילדים (IPV)-IPV,בני דרום,100%
שיתוק ילדים (IPV)-IPV,בית ענאן,33%
שיתוק ילדים (IPV)-IPV,בית חנן,100%
שיתוק ילדים (IPV)-IPV,אלמוג,100%
שיתוק ילדים (IPV)-IPV,אילניה,100%
שיתוק ילדים (IPV)-IPV,אורטל,100%
שיתוק ילדים (IPV)-IPV,תעוז,100%
שיתוק ילדים (IPV)-IPV,קראות בני זיד,67%
שיתוק ילדים (IPV)-IPV,קלחים,100%
שיתוק ילדים (IPV)-IPV,קביא,100%
שיתוק ילדים (IPV)-IPV,פרזון,94%
שיתוק ילדים (IPV)-IPV,ערב אל נעים,100%
שיתוק ילדים (IPV)-IPV,עקבת ג'בר,75%
שיתוק ילדים (IPV)-IPV,עיר אובות,67%
שיתוק ילדים (IPV)-IPV,עין השלושה,100%
שיתוק ילדים (IPV)-IPV,סאסא,80%
שיתוק ילדים (IPV)-IPV,מרום גולן,93%
שיתוק ילדים (IPV)-IPV,מנוף,100%
שיתוק ילדים (IPV)-IPV,מחנה יתיר,100%
שיתוק ילדים (IPV)-IPV,מורן,93%
שיתוק ילדים (IPV)-IPV,לבון,100%
שיתוק ילדים (IPV)-IPV,כפר גליקסון,88%
שיתוק ילדים (IPV)-IPV,כפר ברוך,100%
שיתוק ילדים (IPV)-IPV,חמדת,93%
שיתוק ילדים (IPV)-IPV,חבר,95%
שיתוק ילדים (IPV)-IPV,הוזייל (שבט),97%
שיתוק ילדים (IPV)-IPV,גשור,89%
שיתוק ילדים (IPV)-IPV,גנות,100%
שיתוק ילדים (IPV)-IPV,גן שמואל,100%
שיתוק ילדים (IPV)-IPV,גן חיים,88%
שיתוק ילדים (IPV)-IPV,גורן,87%
שיתוק ילדים (IPV)-IPV,ג'לזון,50%
שיתוק ילדים (IPV)-IPV,בית עובד,100%
שיתוק ילדים (IPV)-IPV,בית סוריכ,0%
שיתוק ילדים (IPV)-IPV,ביר נבאלא,100%
שיתוק ילדים (IPV)-IPV,אפיק,100%
שיתוק ילדים (IPV)-IPV,אמנון,100%
שיתוק ילדים (IPV)-IPV,שדה ניצן,100%
שיתוק ילדים (IPV)-IPV,שאר ישוב,87%
שיתוק ילדים (IPV)-IPV,קליה,100%
שיתוק ילדים (IPV)-IPV,קביבה,100%
שיתוק ילדים (IPV)-IPV,פתחיה,100%
שיתוק ילדים (IPV)-IPV,עלומים,93%
שיתוק ילדים (IPV)-IPV,עין העמק,95%
שיתוק ילדים (IPV)-IPV,נס עמים,67%
שיתוק ילדים (IPV)-IPV,ניר יצחק,100%
שיתוק ילדים (IPV)-IPV,משמר השרון,94%
שיתוק ילדים (IPV)-IPV,מסד,91%
שיתוק ילדים (IPV)-IPV,מחסיה,87%
שיתוק ילדים (IPV)-IPV,מחנה מרים,100%
שיתוק ילדים (IPV)-IPV,מחנה טלי,100%
שיתוק ילדים (IPV)-IPV,יערה,92%
שיתוק ילדים (IPV)-IPV,ח'רבת  אל-ערוב,67%
שיתוק ילדים (IPV)-IPV,גת (קיבוץ),100%
שיתוק ילדים (IPV)-IPV,גן שלמה,100%
שיתוק ילדים (IPV)-IPV,גבע,75%
שיתוק ילדים (IPV)-IPV,בלפוריה,92%
שיתוק ילדים (IPV)-IPV,בית ניר,100%
שיתוק ילדים (IPV)-IPV,אסד (שבט),97%
שיתוק ילדים (IPV)-IPV,אילות,100%
שיתוק ילדים (IPV)-IPV,תל יצחק,89%
שיתוק ילדים (IPV)-IPV,רנן,100%
שיתוק ילדים (IPV)-IPV,רווחה,100%
שיתוק ילדים (IPV)-IPV,ראס עלי,100%
שיתוק ילדים (IPV)-IPV,צובה,100%
שיתוק ילדים (IPV)-IPV,צבא,100%
שיתוק ילדים (IPV)-IPV,פצאל,94%
שיתוק ילדים (IPV)-IPV,עין המפרץ,100%
שיתוק ילדים (IPV)-IPV,נתיב השיירה,82%
שיתוק ילדים (IPV)-IPV,ניצנים,88%
שיתוק ילדים (IPV)-IPV,נווה ים,90%
שיתוק ילדים (IPV)-IPV,נוגה,78%
שיתוק ילדים (IPV)-IPV,מעגן,95%
שיתוק ילדים (IPV)-IPV,כפר דניאל,100%
שיתוק ילדים (IPV)-IPV,כחלה,100%
שיתוק ילדים (IPV)-IPV,דישון,83%
שיתוק ילדים (IPV)-IPV,גשר,100%
שיתוק ילדים (IPV)-IPV,ביתן אהרן,88%
שיתוק ילדים (IPV)-IPV,ביר זית,100%
שיתוק ילדים (IPV)-IPV,בדו,0%
שיתוק ילדים (IPV)-IPV,באר מילכה,83%
שיתוק ילדים (IPV)-IPV,אשדות יעקב  (מאוחד),100%
שיתוק ילדים (IPV)-IPV,אשבול,71%
שיתוק ילדים (IPV)-IPV,ארטס,100%
שיתוק ילדים (IPV)-IPV,אפק,100%
שיתוק ילדים (IPV)-IPV,אושה,100%
שיתוק ילדים (IPV)-IPV,תדהר,100%
שיתוק ילדים (IPV)-IPV,שלווה,97%
שיתוק ילדים (IPV)-IPV,שדה יואב,85%
שיתוק ילדים (IPV)-IPV,קרית ענבים,82%
שיתוק ילדים (IPV)-IPV,צוריאל,95%
שיתוק ילדים (IPV)-IPV,פרוד,94%
שיתוק ילדים (IPV)-IPV,סופה,100%
שיתוק ילדים (IPV)-IPV,נטועה,89%
שיתוק ילדים (IPV)-IPV,נווה שלום,100%
שיתוק ילדים (IPV)-IPV,נווה אור,88%
שיתוק ילדים (IPV)-IPV,משגב עם,100%
שיתוק ילדים (IPV)-IPV,מבטחים,100%
שיתוק ילדים (IPV)-IPV,יראון,100%
שיתוק ילדים (IPV)-IPV,חורשים,75%
שיתוק ילדים (IPV)-IPV,חבלה,100%
שיתוק ילדים (IPV)-IPV,ח'ואלד,97%
שיתוק ילדים (IPV)-IPV,דקל,100%
שיתוק ילדים (IPV)-IPV,גליל ים,94%
שיתוק ילדים (IPV)-IPV,גבעת עוז,89%
שיתוק ילדים (IPV)-IPV,גבעת השלושה,93%
שיתוק ילדים (IPV)-IPV,ג'בע-ראמאללה,50%
שיתוק ילדים (IPV)-IPV,בת הדר,100%
שיתוק ילדים (IPV)-IPV,ברעם,91%
שיתוק ילדים (IPV)-IPV,בן שמן (מושב),88%
שיתוק ילדים (IPV)-IPV,אשרת,93%
שיתוק ילדים (IPV)-IPV,ארבל,87%
שיתוק ילדים (IPV)-IPV,אביגדור,96%
שיתוק ילדים (IPV)-IPV,קבוצת יבנה,94%
שיתוק ילדים (IPV)-IPV,עין גדי,100%
שיתוק ילדים (IPV)-IPV,עזה,67%
שיתוק ילדים (IPV)-IPV,ניר בנים,100%
שיתוק ילדים (IPV)-IPV,משגב דב,100%
שיתוק ילדים (IPV)-IPV,מסילות,90%
שיתוק ילדים (IPV)-IPV,מנרה,92%
שיתוק ילדים (IPV)-IPV,מלילות,88%
שיתוק ילדים (IPV)-IPV,כרם שלום,100%
שיתוק ילדים (IPV)-IPV,יהל,100%
שיתוק ילדים (IPV)-IPV,טפחות,96%
שיתוק ילדים (IPV)-IPV,זנוח,100%
שיתוק ילדים (IPV)-IPV,גבים,95%
שיתוק ילדים (IPV)-IPV,ג'ש (גוש חלב),100%
שיתוק ילדים (IPV)-IPV,בית שערים,100%
שיתוק ילדים (IPV)-IPV,בית עוא,0%
שיתוק ילדים (IPV)-IPV,בחן,100%
שיתוק ילדים (IPV)-IPV,אביבים,100%
שיתוק ילדים (IPV)-IPV,שיבולים,100%
שיתוק ילדים (IPV)-IPV,שחר,100%
שיתוק ילדים (IPV)-IPV,שומרה,87%
שיתוק ילדים (IPV)-IPV,רפיח5890,100%
שיתוק ילדים (IPV)-IPV,עמיעוז,100%
שיתוק ילדים (IPV)-IPV,ניר יפה,94%
שיתוק ילדים (IPV)-IPV,נחשונים,100%
שיתוק ילדים (IPV)-IPV,נועם,100%
שיתוק ילדים (IPV)-IPV,מכורה,75%
שיתוק ילדים (IPV)-IPV,מגן,100%
שיתוק ילדים (IPV)-IPV,כרמיה,100%
שיתוק ילדים (IPV)-IPV,כפר חרוב,83%
שיתוק ילדים (IPV)-IPV,כפר המכבי,94%
שיתוק ילדים (IPV)-IPV,כנרת (מושבה),75%
שיתוק ילדים (IPV)-IPV,ורד יריחו,94%
שיתוק ילדים (IPV)-IPV,הראל,100%
שיתוק ילדים (IPV)-IPV,דגניה א',100%
שיתוק ילדים (IPV)-IPV,דברת,94%
שיתוק ילדים (IPV)-IPV,גרופית,100%
שיתוק ילדים (IPV)-IPV,גדעונה,71%
שיתוק ילדים (IPV)-IPV,בית עור א-תחתא,50%
שיתוק ילדים (IPV)-IPV,אבן מנחם,80%
שיתוק ילדים (IPV)-IPV,אביטל,88%
שיתוק ילדים (IPV)-IPV,אבו עבדון (שבט),94%
שיתוק ילדים (IPV)-IPV,תאשור,100%
שיתוק ילדים (IPV)-IPV,שער הגולן,100%
שיתוק ילדים (IPV)-IPV,רחוב,100%
שיתוק ילדים (IPV)-IPV,סייד (שבט),100%
שיתוק ילדים (IPV)-IPV,"נעמ""ה",100%
שיתוק ילדים (IPV)-IPV,נובא,100%
שיתוק ילדים (IPV)-IPV,מחנה יהודית,100%
שיתוק ילדים (IPV)-IPV,מגידו,100%
שיתוק ילדים (IPV)-IPV,יובל,91%
שיתוק ילדים (IPV)-IPV,גפן,100%
שיתוק ילדים (IPV)-IPV,גן הדרום,100%
שיתוק ילדים (IPV)-IPV,גבעת שפירא,100%
שיתוק ילדים (IPV)-IPV,אלומות,100%
שיתוק ילדים (IPV)-IPV,תומר,100%
שיתוק ילדים (IPV)-IPV,ריחיה,0%
שיתוק ילדים (IPV)-IPV,צור נתן,33%
שיתוק ילדים (IPV)-IPV,עין תמר,86%
שיתוק ילדים (IPV)-IPV,עארורה,0%
שיתוק ילדים (IPV)-IPV,עאבוד,100%
שיתוק ילדים (IPV)-IPV,מנות,95%
שיתוק ילדים (IPV)-IPV,מחנה יוכבד,93%
שיתוק ילדים (IPV)-IPV,מחנה הילה,100%
שיתוק ילדים (IPV)-IPV,כפר ביאליק,100%
שיתוק ילדים (IPV)-IPV,יפית,75%
שיתוק ילדים (IPV)-IPV,יבול,86%
שיתוק ילדים (IPV)-IPV,יאמון,100%
שיתוק ילדים (IPV)-IPV,דיר עמאר,0%
שיתוק ילדים (IPV)-IPV,דיר גסאנה,0%
שיתוק ילדים (IPV)-IPV,דחי,100%
שיתוק ילדים (IPV)-IPV,גת רימון,80%
שיתוק ילדים (IPV)-IPV,גן שורק,100%
שיתוק ילדים (IPV)-IPV,גיתית,100%
שיתוק ילדים (IPV)-IPV,גיבתון,100%
שיתוק ילדים (IPV)-IPV,גבולות,100%
שיתוק ילדים (IPV)-IPV,גאולי תימן,100%
שיתוק ילדים (IPV)-IPV,ביתוניא,0%
שיתוק ילדים (IPV)-IPV,אבשלום,100%
שיתוק ילדים (IPV)-IPV,תפוח,0%
שיתוק ילדים (IPV)-IPV,שמרת,100%
שיתוק ילדים (IPV)-IPV,שדות מיכה,100%
שיתוק ילדים (IPV)-IPV,פקיעין (בוקייעה),100%
שיתוק ילדים (IPV)-IPV,עינת,100%
שיתוק ילדים (IPV)-IPV,עין חוד,100%
שיתוק ילדים (IPV)-IPV,סער,93%
שיתוק ילדים (IPV)-IPV,נתיב הגדוד,100%
שיתוק ילדים (IPV)-IPV,ניר עוז,100%
שיתוק ילדים (IPV)-IPV,נאות הכיכר,100%
שיתוק ילדים (IPV)-IPV,מרגליות,100%
שיתוק ילדים (IPV)-IPV,כפר רות,91%
שיתוק ילדים (IPV)-IPV,כמהין,100%
שיתוק ילדים (IPV)-IPV,כלנית,93%
שיתוק ילדים (IPV)-IPV,כובר,0%
שיתוק ילדים (IPV)-IPV,חזון,100%
שיתוק ילדים (IPV)-IPV,הודיות,50%
שיתוק ילדים (IPV)-IPV,גני עם,75%
שיתוק ילדים (IPV)-IPV,גלעד (אבן יצחק),89%
שיתוק ילדים (IPV)-IPV,גלגל,100%
שיתוק ילדים (IPV)-IPV,ברוש,100%
שיתוק ילדים (IPV)-IPV,בית גוברין,86%
שיתוק ילדים (IPV)-IPV,אשל הנשיא,100%
שיתוק ילדים (IPV)-IPV,עראבה (ג'נין),100%
שיתוק ילדים (IPV)-IPV,עמוקה,75%
שיתוק ילדים (IPV)-IPV,עין אל-אסד,100%
שיתוק ילדים (IPV)-IPV,סלואד,0%
שיתוק ילדים (IPV)-IPV,נעורים,100%
שיתוק ילדים (IPV)-IPV,נור א-שמס,100%
שיתוק ילדים (IPV)-IPV,"נווה אטי""ב",75%
שיתוק ילדים (IPV)-IPV,מלאה,93%
שיתוק ילדים (IPV)-IPV,כפר נעמה,0%
שיתוק ילדים (IPV)-IPV,טובאס,75%
שיתוק ילדים (IPV)-IPV,ח'אראס,0%
שיתוק ילדים (IPV)-IPV,אמציה,92%
שיתוק ילדים (IPV)-IPV,אלקוש,100%
שיתוק ילדים (IPV)-IPV,אוהד,100%
שיתוק ילדים (IPV)-IPV,אדירים,100%
שיתוק ילדים (IPV)-IPV,תלמי יוסף,100%
שיתוק ילדים (IPV)-IPV,תלמי אליהו,86%
שיתוק ילדים (IPV)-IPV,שיזף,86%
שיתוק ילדים (IPV)-IPV,שורשים,92%
שיתוק ילדים (IPV)-IPV,שדי אברהם,86%
שיתוק ילדים (IPV)-IPV,רמת טראמפ,100%
שיתוק ילדים (IPV)-IPV,ראס אל-עין,100%
שיתוק ילדים (IPV)-IPV,קצרה,100%
שיתוק ילדים (IPV)-IPV,קדרים,90%
שיתוק ילדים (IPV)-IPV,עין חרוד (איחוד),100%
שיתוק ילדים (IPV)-IPV,עוזה,100%
שיתוק ילדים (IPV)-IPV,עדנים,89%
שיתוק ילדים (IPV)-IPV,מצפה שלם,100%
שיתוק ילדים (IPV)-IPV,מלכישוע,80%
שיתוק ילדים (IPV)-IPV,כפר חסידים ב',100%
שיתוק ילדים (IPV)-IPV,ישע,100%
שיתוק ילדים (IPV)-IPV,טמון,0%
שיתוק ילדים (IPV)-IPV,חלץ,100%
שיתוק ילדים (IPV)-IPV,גיזו,67%
שיתוק ילדים (IPV)-IPV,גבעולים,94%
שיתוק ילדים (IPV)-IPV,בית זיד,67%
שיתוק ילדים (IPV)-IPV,אשדות יעקב  (איחוד),100%
שיתוק ילדים (IPV)-IPV,ארגמן,60%
שיתוק ילדים (IPV)-IPV,אבו שח'ידם,0%
שיתוק ילדים (IPV)-IPV,אבו קורינאת (יישוב),100%
שיתוק ילדים (IPV)-IPV,שיוחי,100%
שיתוק ילדים (IPV)-IPV,רביד,100%
שיתוק ילדים (IPV)-IPV,פרעון,67%
שיתוק ילדים (IPV)-IPV,פרעה אל-ג'יפטליק,100%
שיתוק ילדים (IPV)-IPV,עתיל,67%
שיתוק ילדים (IPV)-IPV,ענבתא,0%
שיתוק ילדים (IPV)-IPV,עטארה.,0%
שיתוק ילדים (IPV)-IPV,סלפית,50%
שיתוק ילדים (IPV)-IPV,נורית,75%
שיתוק ילדים (IPV)-IPV,מקווה ישראל,75%
שיתוק ילדים (IPV)-IPV,ח'רבתא-אל-חארתיה,0%
שיתוק ילדים (IPV)-IPV,ג'פנא,100%
שיתוק ילדים (IPV)-IPV,ג'יוס,100%
שיתוק ילדים (IPV)-IPV,בלעא,100%
שיתוק ילדים (IPV)-IPV,בית אגזא,50%
שיתוק ילדים (IPV)-IPV,אחווה,100%
שיתוק ילדים (IPV)-IPV,שויכה,100%
שיתוק ילדים (IPV)-IPV,שדה משה,100%
שיתוק ילדים (IPV)-IPV,ראפאת-ראמאללה,0%
שיתוק ילדים (IPV)-IPV,פרי גן,100%
שיתוק ילדים (IPV)-IPV,עין א-סלטאן,0%
שיתוק ילדים (IPV)-IPV,עיינות,100%
שיתוק ילדים (IPV)-IPV,עבוין,100%
שיתוק ילדים (IPV)-IPV,ניצנה (קהילת חינוך),100%
שיתוק ילדים (IPV)-IPV,נווה איתן,100%
שיתוק ילדים (IPV)-IPV,כפר הנוער הדתי,100%
שיתוק ילדים (IPV)-IPV,ירקונה,100%
שיתוק ילדים (IPV)-IPV,טללים,100%
שיתוק ילדים (IPV)-IPV,חוסאן,100%
שיתוק ילדים (IPV)-IPV,זאויה.,100%
שיתוק ילדים (IPV)-IPV,ורדון,100%
שיתוק ילדים (IPV)-IPV,גורנות הגליל,50%
שיתוק ילדים (IPV)-IPV,ג'דירה,0%
שיתוק ילדים (IPV)-IPV,בית צבי,100%
שיתוק ילדים (IPV)-IPV,בית פג'אר,100%
שיתוק ילדים (IPV)-IPV,בדיא,100%
שיתוק ילדים (IPV)-IPV,אפיניש (שבט),100%
שיתוק ילדים (IPV)-IPV,תל ציון,93%
שיתוק ילדים (IPV)-IPV,שקבא,0%
שיתוק ילדים (IPV)-IPV,רפיח,100%
שיתוק ילדים (IPV)-IPV,רועי,67%
שיתוק ילדים (IPV)-IPV,ראס כרכר,0%
שיתוק ילדים (IPV)-IPV,קבאטיה,100%
שיתוק ילדים (IPV)-IPV,מבואות ים,100%
שיתוק ילדים (IPV)-IPV,כיסופים,100%
שיתוק ילדים (IPV)-IPV,טייבה (בעמק),100%
שיתוק ילדים (IPV)-IPV,זוהר,100%
שיתוק ילדים (IPV)-IPV,דיר אל-גצון,100%
שיתוק ילדים (IPV)-IPV,גדיש,100%
שיתוק ילדים (IPV)-IPV,בקעות,60%
שיתוק ילדים (IPV)-IPV,בלאטה,100%
שיתוק ילדים (IPV)-IPV,בית סירא,100%
שיתוק ילדים (IPV)-IPV,בית ברל,100%
שיתוק ילדים (IPV)-IPV,שזור,91%
שיתוק ילדים (IPV)-IPV,עטאוונה (שבט),100%
שיתוק ילדים (IPV)-IPV,סנג'ל,0%
שיתוק ילדים (IPV)-IPV,מאיר שפיה,100%
